,title,description,sub_category,skills,num_skills
60,Human Resource Management: HR for People Managers Specialization,"Become a better manager of people. Develop strategies and skills for hiring, managing performance, and rewarding employees.",Business Strategy,"['Performance Management', 'interviewing', 'Human Resources (HR)', 'Onboarding', 'managing people', 'Resource Management', 'Hr Strategy', 'Recruiting', 'Recruitment', 'Performance Appraisal', 'Organizational Culture', 'Incentive']",12
61,Achieving Personal and Professional Success Specialization,"Learn How to Maximize Your Potential. Define Success, Communicate Effectively, and Use Influence to Accomplish Personal and Career Goals ",Personal Development,"['goal setting', 'Happiness', 'Personality Development', 'Personal Development', 'Communication', 'Negotiation', 'Deception']",7
62,Regulatory Compliance Specialization,Learn to create a culture of compliance. Master the strategies for building an effective compliance program to manage risk,Business Essentials,"['Risk Management', 'Business Strategy', 'Compliance', 'Human Resources Management', 'Brand Management', 'Strategic Planning', 'Management', 'Organizational Behavior', 'Information Privacy', 'Data Management', 'Privacy Compliance', 'Operations Management']",12
63,"TESOL Certificate, Part 1: Teach English Now! Specialization","TESOL Certificate, Part 1: Teach English Now!. Learn theory and the practical strategies of English as a Second Language teaching.",Learning English,"['Education', 'Online Learning']",2
64,Financial Engineering and Risk Management Specialization,Advance Your Knowledge in Financial Engineering . Build the fundamentals and technical skills in financial engineering,Finance,"['Quantitative Analysis', 'Asset Allocation', 'Algorithmic Trading', 'Portfolio Optimization', 'Mathematical Finance', 'Derivatives', 'Swaps and options', 'Fixed Income', 'Binomial Distribution', 'black scholes model', 'model calibration', 'modeling and pricing Credit Default Swaps']",12
65,UI / UX Design Specialization,"Design High-Impact User Experiences. Research, design, and prototype effective, visually-driven websites and apps. ",Music and Art,"['Website Wireframe', 'strategy', 'User Interface Design (UI Design)', 'User Experience (UX)', 'User Research', 'Graphic Design', 'Adobe XD', 'Adobe Illustrator', 'InVision', 'Marvel', 'Adobe Indesign', 'Treejack']",12
66,"Product Ideation, Design, and Management Specialization","Learn to discover, design, and deliver products that customers love.",Marketing,"['Product Development', 'Ideation', 'Product Management', 'product design', 'Innovation', 'Market Analysis', 'Entrepreneurship', 'Competitive Analysis', 'Customer Development', 'Marketing', 'Leadership', 'User Experience (UX)']",12
67,Financial Analysis - Skills for Success Specialization,Prepare for a career in financial analysis. Gain a wholistic understanding of organizational finance and apply an analytical mindset toward financial statement analysis and organizational decision-making.,Finance,"['Accounting', 'Scenario Analysis', 'financial statement analysis', 'Strategic Management', 'Finance', 'Risk', 'Financial Analysis', 'Financial Statement', 'Planning', 'Decision-Making', 'Data Analysis', 'Budget']",12
68,Creative Writing Specialization,Craft Your Story Like the Great Writers. Craft an original story that will absorb a reader’s interest from the beginning to end.,Music and Art,"['Short Story Writing', 'Fiction Writing', 'Creativity', 'Copy Editing']",4
69,Data Structures and Algorithms Specialization,"Master Algorithmic Programming Techniques. Advance your Software Engineering or Data Science Career by Learning Algorithms through Programming and Puzzle Solving. Ace coding interviews by implementing each algorithmic challenge in this Specialization. Apply the newly-learned algorithmic techniques to real-life problems, such as analyzing a huge social network or sequencing a genome of a deadly pathogen. ",Algorithms,"['Debugging', 'Software Testing', 'Algorithms', 'Data Structure', 'Computer Programming', 'Dynamic Programming', 'Binary Search Tree', 'Priority Queue', 'Hash Table', 'Stack (Abstract Data Type)', 'List', 'Graph Theory']",12
